Query,Data,Singlequotes,Doublequotes,Punctuations,1-linecmt,Mulline-cmt,Spaces,Safekywrd,Harmflkywrd,Percentages,Log_oprtr,Operator,Nulls,Hex-dec,Db_info,Roles,Ntwr_cmds,Lang_cmds,Alphabets,Digits,Spl_char,Label
SELECT * FROM wp_favethemes_currency_converter,1,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,1,39,0,0,0
SELECT COUNT ( spite )  FROM kids,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0
SELECT * FROM torn,1,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,14,0,0,0
SELECT * FROM dog,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,13,0,0,0
"   SELECT Employees.surrounded, COUNT ( Orders.exclaimedID )  AS rushFROM    ( OrdersINNER JOIN accurate ON Orders.herselfID  =  Employees.sitID ) ",1,0,0,9,0,0,17,7,1,0,5,6,0,0,0,0,0,1,111,0,0,0
"   SELECT growth, ought, finishFROM serve WHERE phrase  IS NOT NULL",1,0,0,2,0,0,10,2,1,0,2,2,1,0,0,0,0,1,52,0,0,0
DELETE FROM thou WHERE needs = 'force',1,2,0,2,0,0,7,1,1,0,1,2,0,0,0,0,0,1,29,0,2,0
SELECT * FROM income WHERE chapter = 'distant'  AND City = 'pleasant',1,4,0,4,0,0,12,3,1,0,3,6,0,0,0,0,0,1,50,0,4,0
"  SELECT * FROM shop WHERE greatest IN  ( 'tomorrow', 'stay', 'plane' )  ",1,6,0,10,0,0,12,3,0,0,2,3,0,0,0,0,0,1,46,0,6,0
SELECT connected ( s ) FROM complex INNER JOIN,1,0,0,2,0,0,9,4,0,0,2,2,0,0,0,0,0,1,36,0,0,0
"  SELECT hurryID AS ID, modern AS broke FROM stage",1,0,0,1,0,0,9,1,2,0,0,0,0,0,0,0,0,1,39,0,0,0
SELECT * FROM tail WHERE off NOT LIKE 'born%',1,2,0,2,0,0,9,3,0,1,3,5,0,0,0,0,0,1,33,0,2,0
DELETE FROM grandmother,1,0,0,0,0,0,3,1,1,0,2,2,0,0,0,0,0,1,21,0,0,0
SELECT * FROM term  WHERE driving NOT LIKE '[atmosphere]%',1,2,0,4,0,0,9,3,0,1,3,5,0,0,0,0,0,1,43,0,2,0
"  SELECT Orders.sayrID, Employees.rose, Employees.steep FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.foxID ORDER BY Orders.climateID",1,0,0,8,0,0,15,9,0,0,6,7,0,0,0,0,0,1,127,0,0,0
SELECT * FROM else,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,14,0,0,0
"   SELECT Employees.answer, COUNT ( Orders.soilID )  AS chooseFROM    ( OrdersINNER JOIN neighborhood ON Orders.occurID  =  Employees.pondID ) ",1,0,0,9,0,0,17,8,1,0,6,7,0,0,0,0,0,1,107,0,0,0
SELECT * FROM breeze WHERE cost = 'mighty' LIMIT 3,1,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,36,1,2,0
SELECT hunt FROM twenty,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0
SELECT * FROM whom WHERE popular NOT BETWEEN 'mathematics' AND 'suit',1,4,0,4,0,0,11,2,0,0,4,5,0,0,0,0,0,1,54,0,4,0
SELECT easily FROM even,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,20,0,0,0
SELECT * FROM dirty WHERE whole = 'stood' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,48,1,2,0
SELECT * FROM managed WHERE fish = 'pencil' LIMIT 3,1,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,37,1,2,0
SELECT * FROM slowly WHERE metal BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,36,16,4,0
SELECT * FROM globe ORDER BY palace DESC,1,0,0,0,0,0,8,4,0,0,1,2,0,0,0,0,0,1,32,0,0,0
"   SELECT everyone, running+ ', ' + difficulty+ ' ' + seed+ ', ' + mix AS term  FROM nation",1,6,0,9,0,0,19,2,1,0,1,7,0,0,0,0,0,1,54,0,6,0
"INSERT INTO eye  ( above, article, printed )  VALUES  ( 'plain', 'own', 'selection' )  ",1,6,0,14,0,0,14,6,0,0,4,4,0,0,0,0,0,2,55,0,6,0
DELETE FROM discuss WHERE cook = 'basic',1,2,0,2,0,0,7,0,2,0,0,1,0,0,0,0,0,1,31,0,2,0
SELECT * FROM Customers ORDER BY CustomerName ASC;,1,0,0,1,0,0,8,4,1,0,1,2,0,0,0,0,0,1,41,0,0,0
SELECT AVG ( exact ) FROM bee SELECT SUM ( battle ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,36,0,0,0
SELECT * FROM industrial  WHERE flag = queen,1,0,0,0,0,0,8,2,0,0,1,3,0,0,0,0,0,1,34,0,0,0
SELECT TOP 3 * FROM thrown SELECT * FROM became 3SELECT * FROM little,1,0,0,0,0,0,14,3,0,0,0,3,0,0,0,0,0,3,51,2,0,0
DELETE FROM function,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,18,0,0,0
SELECT shore ( s )  FROM statement SELECT then FROM clock,1,0,0,2,0,0,11,3,0,0,1,1,0,0,0,0,0,3,44,0,0,0
SELECT * FROM attention FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM hay,1,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,2,60,3,0,0
SELECT * FROM  ( SELECT swing FROM paper ) ,1,0,0,2,0,0,9,3,0,0,1,2,0,0,0,0,0,2,30,0,0,0
SELECT * FROM dangerous WHERE tears = 'sure' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,51,1,2,0
"  SELECT * FROM follow WHERE elephant IN  ( 'solve', 'four', 'throat' )  ",1,6,0,10,0,0,12,2,0,0,1,2,0,0,0,0,0,1,46,0,6,0
" SELECT column_name ( s )  FROM drawn,lose",1,0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,1,30,0,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 9053 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,4,0,0
SELECT Count ( * )  AS mistake,1,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,20,0,0,0
SELECT * FROM with ORDER BY science,1,0,0,0,0,0,7,3,0,0,1,2,0,0,0,0,0,1,28,0,0,0
SELECT * FROM other WHERE spread NOT BETWEEN 'supply' AND 'barn',1,4,0,4,0,0,11,2,0,0,4,5,0,0,0,0,0,1,49,0,4,0
SELECT * FROM secret WHERE expression = 'facing'  OR such = 'warn',1,4,0,4,0,0,12,3,0,0,2,5,0,0,0,0,0,1,47,0,4,0
SELECT * FROM wolf 3,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,14,1,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 3836 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,4,0,0
SELECT principal ( s )  FROM pocket FULL OUTER JOIN,1,0,0,2,0,0,10,4,0,0,2,2,0,0,0,0,0,1,39,0,0,0
"  SELECT leaf,did FROM leave WHERE creature = 'whole' UNION SELECT nor, before FROM written",1,2,0,4,0,0,14,6,0,0,2,3,0,0,0,0,0,2,71,0,2,0
SELECT * FROM summer 3,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,16,1,0,0
DELETE FROM friend,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0
SELECT * FROM shown WHERE center = 'science' LIMIT 3,1,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,38,1,2,0
SELECT plus FROM plural UNION SELECT education FROM opposite ORDER BY shinning,1,0,0,0,0,0,12,8,0,0,3,3,0,0,0,0,0,2,67,0,0,0
SELECT * FROM whole WHERE essential BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,39,16,4,0
SELECT * FROM real FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM traffic,1,0,0,0,0,0,16,2,0,0,0,2,0,0,0,0,0,2,59,3,0,0
SELECT AVG ( test ) FROM look SELECT SUM ( free ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,34,0,0,0
SELECT option_value FROM wp_options WHERE option_name  =  'siteground_optimizer_combine_css' LIMIT 1,1,2,0,2,0,0,10,2,1,0,1,2,0,0,0,0,0,1,79,1,2,0
SELECT * FROM rice WHERE bar BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,32,16,4,0
SELECT * FROM  ( SELECT what FROM complex ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,31,0,0,0
SELECT * FROM daily FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM exercise,1,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,2,61,3,0,0
SELECT TOP 3 * FROM yellow,1,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,1,19,1,0,0
" SELECT * FROM structure ORDER BY elephant, able",1,0,0,1,0,0,8,3,0,0,1,2,0,0,0,0,0,1,38,0,0,0
SELECT MIN ( weight )  AS market FROM zulu,1,0,0,2,0,0,9,2,1,0,1,1,0,0,0,0,0,1,31,0,0,0
SELECT help ( s )  FROM bat SELECT cap ( s ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,28,0,0,0
SELECT TIME ( NULL ) ;,1,0,0,3,0,0,6,1,0,0,0,0,1,0,0,0,0,1,14,0,0,0
SELECT COUNT ( tinID ) FROM satisfied,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,29,0,0,0
SELECT your ( s )  FROM onto FULL OUTER JOIN,1,0,0,2,0,0,10,3,0,0,1,1,0,0,0,0,0,1,32,0,0,0
SELECT TOP 50 PERCENT * FROM discover,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,28,2,0,0
SELECT * FROM cup 3 SELECT * FROM jungle,1,0,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,2,29,1,0,0
SELECT AVG ( Price ) FROM imagine,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,25,0,0,0
SELECT * FROM reader WHERE busy = 'expect' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,49,1,2,0
"SELECT * FROM call WHERE fix BETWEEN ""whether"" AND    ""locate""",1,0,4,4,0,0,10,3,1,0,4,5,0,0,0,0,0,2,45,0,4,0
SELECT expect ( s )  FROM slight SELECT satisfied FROM phrase,1,0,0,2,0,0,11,2,1,0,0,0,0,0,0,0,0,2,48,0,0,0
SELECT COUNT ( DISTINCT visit )  FROM prove,1,0,0,2,0,0,8,2,0,0,1,1,0,0,0,0,0,1,33,0,0,0
SELECT * FROM birthday ORDER BY court DESC,1,0,0,0,0,0,8,4,0,0,1,2,0,0,0,0,0,1,34,0,0,0
"  SELECT * FROM bite WHERE explanation NOT IN  ( 'pig', 'station', 'western' )  ",1,6,0,10,0,0,13,2,0,0,2,3,0,0,0,0,0,1,52,0,6,0
" SELECT * FROM something ORDER BY weak ASC, sugar DESC",1,0,0,1,0,0,10,6,1,0,3,4,0,0,0,0,0,1,42,0,0,0
SELECT AVG ( split ) FROM try SELECT SUM ( knife ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,35,0,0,0
SELECT * FROM numeral FETCH FIRST 3 ROWS ONLY,1,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,35,1,0,0
SELECT Count ( * )  AS exactly,1,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,20,0,0,0
SELECT MIN ( over )  AS rate FROM finger,1,0,0,2,0,0,9,3,1,0,2,2,0,0,0,0,0,1,29,0,0,0
SELECT COUNT ( wheel ) FROM lying,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,25,0,0,0
"   SELECT here, organized+ ', ' + claws+ ' ' + teacher+ ', ' + respect AS count  FROM leaf",1,6,0,9,0,0,19,2,1,0,1,7,0,0,0,0,0,1,53,0,6,0
SELECT * FROM equipment  WHERE horse = eaten,1,0,0,0,0,0,8,2,0,0,1,3,0,0,0,0,0,1,34,0,0,0
" SELECT * FROM floor ORDER BY useful, general",1,0,0,1,0,0,8,4,0,0,2,3,0,0,0,0,0,1,35,0,0,0
"  SELECT windowID AS ID, plus AS passage FROM frozen",1,0,0,1,0,0,9,2,3,0,1,1,0,0,0,0,0,1,41,0,0,0
SELECT * FROM rhyme WHERE slipped = 'lucky' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,50,1,2,0
" SELECT * FROM air ORDER BY select ASC, got DESC",1,0,0,1,0,0,10,6,1,0,1,2,0,0,0,0,0,2,36,0,0,0
"SELECT * FROM needs WHERE pleasant BETWEEN ""fewer"" AND    ""blood""",1,0,4,4,0,0,10,2,1,0,3,4,0,0,0,0,0,1,48,0,4,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 14113 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,5,0,0
" SELECT * FROM directly ORDER BY thousand ASC, told DESC",1,0,0,1,0,0,10,6,1,0,3,4,0,0,0,0,0,1,44,0,0,0
SELECT AVG ( noon ) FROM finger,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,23,0,0,0
SELECT TOP 3 * FROM aloud,1,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,1,18,1,0,0
"  SELECT * FROM mail WHERE human NOT IN  ( 'particles', 'porch', 'colony' )  ",1,6,0,10,0,0,13,3,0,0,3,4,0,0,0,0,0,1,49,0,6,0
SELECT * FROM sit FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM apart,1,0,0,0,0,0,16,2,0,0,0,2,0,0,0,0,0,2,56,3,0,0
SELECT * FROM  ( SELECT brother FROM lesson ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,33,0,0,0
SELECT * FROM local WHERE    NOT winter = 'region',1,2,0,2,0,0,9,2,0,0,2,4,0,0,0,0,0,1,35,0,2,0
SELECT COUNT ( whom ) FROM inside,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,25,0,0,0
SELECT * FROM planet FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,41,2,0,0
"   SELECT enemy, pay+ ', ' + process+ ' ' + myself+ ', ' + hold AS value  FROM stick",1,6,0,9,0,0,19,1,1,0,0,6,0,0,0,0,0,1,47,0,6,0
"   SELECT bone, paper+ ', ' + cookies+ ' ' + upper+ ', ' + meat AS bare  FROM this",1,6,0,9,0,0,19,1,1,0,0,6,0,0,0,0,0,1,45,0,6,0
SELECT * FROM winter WHERE hay = 'company' LIMIT 3,1,2,0,2,0,0,10,3,0,0,2,4,0,0,0,0,0,1,36,1,2,0
SELECT * FROM said ORDER BY subject,1,0,0,0,0,0,7,3,0,0,1,2,0,0,0,0,0,1,28,0,0,0
"  SELECT TIMESTAMP ( ""2017-07-23"" ) ;",1,0,2,7,0,0,6,1,0,0,0,2,0,0,0,0,0,1,15,8,2,0
SELECT * FROM dream WHERE bank BETWEEN 'machine' AND 'tin',1,4,0,4,0,0,10,4,0,0,5,6,0,0,0,0,0,1,44,0,4,0
SELECT * FROM range WHERE indicate = 'discuss'  AND City = 'made',1,4,0,4,0,0,12,3,0,0,3,6,0,0,0,0,0,1,46,0,4,0
SELECT AVG ( slightly ) FROM vertical,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,29,0,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28555 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,5,0,0
SELECT AVG ( captain ) FROM hurried SELECT SUM ( certain ) ,1,0,0,4,0,0,12,4,0,0,2,2,0,0,0,0,0,2,43,0,0,0
"   SELECT COUNT ( underline ) , flow FROM will BY spirit",1,0,0,3,0,0,11,2,0,0,1,1,0,0,0,0,0,1,40,0,0,0
"  SELECT school,frighten FROM furniture WHERE path = 'needed' UNION SELECT century, secret FROM bet",1,2,0,4,0,0,14,4,0,0,0,1,0,0,0,0,0,2,79,0,2,0
SELECT option_value FROM wp_options WHERE option_name  =  'houzez_ptype_settings' LIMIT 1,1,2,0,2,0,0,10,4,0,0,1,2,0,0,0,0,0,1,69,1,2,0
SELECT Count ( * )  AS completely,1,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,23,0,0,0
SELECT * FROM plain,1,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,15,0,0,0
WHERE EXISTS  ( SELECT ProductName FROM   Products WHERE SupplierId  =  Suppliers.supplierId AND Price  =  22 ) ;,1,0,0,4,0,0,17,2,0,0,3,5,0,0,0,0,0,1,82,2,0,0
SELECT COUNT ( DISTINCT rich )  FROM him,1,0,0,2,0,0,8,2,0,0,1,1,0,0,0,0,0,1,30,0,0,0
SELECT Count ( * )  AS blank,1,0,0,2,0,0,7,1,1,0,0,1,0,0,0,0,0,1,18,0,0,0
SELECT * FROM tune WHERE capital BETWEEN 'guess' AND 'purple',1,4,0,4,0,0,10,2,0,0,3,4,0,0,0,0,0,1,47,0,4,0
SELECT AVG ( slide )  FROM deeply  SELECT SUM ( central ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,40,0,0,0
SELECT * FROM swept FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM pond,1,0,0,0,0,0,16,2,0,0,0,2,0,0,0,0,0,2,57,3,0,0
SELECT * FROM  ( SELECT start FROM cowboy ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,31,0,0,0
SELECT physical FROM mix UNION ALL SELECT safety FROM frog ORDER BY prepare,1,0,0,0,0,0,13,7,0,0,2,2,0,0,0,0,0,2,63,0,0,0
SELECT * FROM rhyme ORDER BY heavy DESC,1,0,0,0,0,0,8,4,0,0,1,2,0,0,0,0,0,1,31,0,0,0
"  SELECT hiddenID AS ID, aid AS fell FROM bet",1,0,0,1,0,0,9,1,2,0,0,0,0,0,0,0,0,1,34,0,0,0
SELECT MIN ( drove )  AS list FROM tears,1,0,0,2,0,0,9,2,1,0,1,1,0,0,0,0,0,1,29,0,0,0
SELECT * FROM bush FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM cookies,1,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,2,59,3,0,0
SELECT * FROM fuel WHERE addition BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,37,16,4,0
SELECT label ( s )  FROM grown FULL OUTER JOIN,1,0,0,2,0,0,10,3,0,0,1,1,0,0,0,0,0,1,34,0,0,0
SELECT * FROM younger WHERE teach = 'could',1,2,0,2,0,0,8,1,0,0,0,2,0,0,0,0,0,1,32,0,2,0
SELECT * FROM story,1,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,15,0,0,0
"  SELECT * FROM sudden WHERE express IN  ( 'biggest', 'show', 'machinery' )  ",1,6,0,10,0,0,12,3,0,0,2,3,0,0,0,0,0,1,50,0,6,0
SELECT * FROM plenty FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,41,2,0,0
SELECT part ( s )  FROM cannot LEFT JOIN,1,0,0,2,0,0,9,3,0,0,2,2,0,0,0,0,0,1,29,0,0,0
SELECT * FROM  ( SELECT care FROM yesterday ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,33,0,0,0
SELECT AVG ( Price ) FROM together,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,26,0,0,0
SELECT TOP 3 * FROM function WHERE sink = 'wait',1,2,0,2,0,0,10,2,0,0,1,3,0,0,0,0,0,1,34,1,2,0
DELETE FROM herd WHERE mine = 'bush',1,2,0,2,0,0,7,1,1,0,1,2,0,0,0,0,0,1,27,0,2,0
SELECT * FROM either WHERE shinning = 'up'  OR ear = 'metal',1,4,0,4,0,0,12,4,0,0,3,6,0,0,0,0,0,1,41,0,4,0
SELECT * FROM simply WHERE settle = 'another'  AND City = 'nation',1,4,0,4,0,0,12,4,0,0,3,6,0,0,0,0,0,1,47,0,4,0
SELECT COUNT ( moonID ) FROM shoulder,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,29,0,0,0
SELECT * FROM  ( SELECT machinery FROM fog ) ,1,0,0,2,0,0,9,3,0,0,1,2,0,0,0,0,0,2,32,0,0,0
SELECT * FROM pretty WHERE lay = 'older' LIMIT 3,1,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,34,1,2,0
SELECT * FROM cowboy WHERE effort = 'never' LIMIT 3,1,2,0,2,0,0,10,2,0,0,1,3,0,0,0,0,0,1,37,1,2,0
SELECT * FROM figure WHERE moving = 'view' LIMIT 3,1,2,0,2,0,0,10,2,0,0,1,3,0,0,0,0,0,1,36,1,2,0
SELECT ago ( s FROM master RIGHT JOIN,1,0,0,1,0,0,8,3,1,0,1,1,0,0,0,0,0,1,29,0,0,0
"   SELECT per, bet+ ', ' + setting+ ' ' + leader+ ', ' + practice AS blew  FROM breathing",1,6,0,9,0,0,19,5,1,0,2,8,0,0,0,0,0,1,52,0,6,0
"  SELECT * FROM club WHERE tell NOT IN  ( 'has', 'merely', 'practice' )  ",1,6,0,10,0,0,13,2,1,0,2,3,0,0,0,0,0,1,45,0,6,0
"   SELECT weather, which, runFROM cowboy WHERE idea  IS NOT NULL",1,0,0,2,0,0,10,1,0,0,1,1,1,0,0,0,0,1,49,0,0,0
SELECT * FROM nine,1,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,14,0,0,0
"  SELECT ants AS pen, worse AS [aloud]  FROM sky",1,0,0,3,0,0,9,2,2,0,1,1,0,0,0,0,0,1,34,0,0,0
